[rosmaster.main][INFO] 2012-12-18 20:51:53,240: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-18 20:51:53,241: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-18 20:51:53,246: XML-RPC server binding to 0.0.0.0
[rosmaster.master][INFO] 2012-12-18 20:51:53,250: Master initialized: port[11311], uri[http://linaro-alip:11311/]
[xmlrpc][INFO] 2012-12-18 20:51:53,249: Started XML-RPC server [http://linaro-alip:11311/]
[xmlrpc][INFO] 2012-12-18 20:51:53,251: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-18 20:51:53,324: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-18 20:51:53,335: +PARAM [/roslaunch/uris/host_linaro_alip__42895] by /roslaunch
[rosmaster.master][INFO] 2012-12-18 20:51:53,726: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-18 20:51:53,728: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-18 20:51:54,237: +SERVICE [/rosout/get_loggers] /rosout http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:51:54,258: +SERVICE [/rosout/set_logger_level] /rosout http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:51:54,305: +PUB [/rosout_agg] /rosout http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:51:54,330: +SUB [/rosout] /rosout http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:54:13,553: +PUB [/rosout] /create http://linaro-alip:48805/
[rosmaster.master][INFO] 2012-12-18 20:54:13,571: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:54:13,636: -PUB [/rosout] /create http://linaro-alip:48805/
[rosmaster.master][INFO] 2012-12-18 20:54:13,679: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 20:59:12,209: +PARAM [/brown/irobot_create_2_1/port] by /rosparam-13476
[rosmaster.master][INFO] 2012-12-18 20:59:55,903: +PARAM [/brown/irobot_create_2_1/port] by /rosparam-13480
