2014-03-03 14:33:24 startup packages purge
2014-03-03 14:33:24 status installed abiword 2.9.2+svn20120213-1
2014-03-03 14:33:29 remove abiword 2.9.2+svn20120213-1 <none>
2014-03-03 14:33:29 status half-configured abiword 2.9.2+svn20120213-1
2014-03-03 14:33:29 status half-installed abiword 2.9.2+svn20120213-1
2014-03-03 14:33:29 status triggers-pending menu 2.1.46ubuntu1
2014-03-03 14:33:29 status half-installed abiword 2.9.2+svn20120213-1
2014-03-03 14:33:29 status triggers-pending desktop-file-utils 0.20-0ubuntu2
2014-03-03 14:33:29 status half-installed abiword 2.9.2+svn20120213-1
2014-03-03 14:33:29 status triggers-pending man-db 2.6.1-2
2014-03-03 14:33:29 status half-installed abiword 2.9.2+svn20120213-1
2014-03-03 14:33:30 status triggers-awaited menu 2.1.46ubuntu1
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 purge abiword 2.9.2+svn20120213-1 <none>
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 status config-files abiword 2.9.2+svn20120213-1
2014-03-03 14:33:31 status not-installed abiword <none>
2014-03-03 14:33:31 trigproc menu 2.1.46ubuntu1 <none>
2014-03-03 14:33:31 status half-configured menu 2.1.46ubuntu1
2014-03-03 14:33:32 status installed menu 2.1.46ubuntu1
2014-03-03 14:33:32 trigproc desktop-file-utils 0.20-0ubuntu2 <none>
2014-03-03 14:33:32 status half-configured desktop-file-utils 0.20-0ubuntu2
2014-03-03 14:33:32 status installed desktop-file-utils 0.20-0ubuntu2
2014-03-03 14:33:32 trigproc man-db 2.6.1-2 <none>
2014-03-03 14:33:32 status half-configured man-db 2.6.1-2
2014-03-03 14:33:39 status installed man-db 2.6.1-2
2014-03-03 14:34:23 startup packages remove
2014-03-03 14:34:23 status installed abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 remove abiword-common 2.9.2+svn20120213-1 <none>
2014-03-03 14:34:25 status half-configured abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 status half-installed abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 status triggers-pending shared-mime-info 1.0-0ubuntu4
2014-03-03 14:34:25 status half-installed abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 status config-files abiword-common 2.9.2+svn20120213-1
2014-03-03 14:34:25 status installed libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 14:34:26 remove libabiword-2.9 2.9.2+svn20120213-1 <none>
2014-03-03 14:34:26 status half-configured libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 14:34:26 status half-installed libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 14:34:27 status triggers-pending libc-bin 2.15-0ubuntu10
2014-03-03 14:34:27 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 14:34:27 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 14:34:28 status installed libloudmouth1-0 1.4.3-8
2014-03-03 14:34:28 remove libloudmouth1-0 1.4.3-8 <none>
2014-03-03 14:34:28 status half-configured libloudmouth1-0 1.4.3-8
2014-03-03 14:34:28 status half-installed libloudmouth1-0 1.4.3-8
2014-03-03 14:34:29 status config-files libloudmouth1-0 1.4.3-8
2014-03-03 14:34:29 status config-files libloudmouth1-0 1.4.3-8
2014-03-03 14:34:30 status installed libots0 0.5.0-2.1
2014-03-03 14:34:30 remove libots0 0.5.0-2.1 <none>
2014-03-03 14:34:30 status half-configured libots0 0.5.0-2.1
2014-03-03 14:34:30 status half-installed libots0 0.5.0-2.1
2014-03-03 14:34:31 status config-files libots0 0.5.0-2.1
2014-03-03 14:34:31 status config-files libots0 0.5.0-2.1
2014-03-03 14:34:31 status installed libtelepathy-glib0 0.18.0-1ubuntu1
2014-03-03 14:34:32 remove libtelepathy-glib0 0.18.0-1ubuntu1 <none>
2014-03-03 14:34:32 status half-configured libtelepathy-glib0 0.18.0-1ubuntu1
2014-03-03 14:34:32 status half-installed libtelepathy-glib0 0.18.0-1ubuntu1
2014-03-03 14:34:33 status config-files libtelepathy-glib0 0.18.0-1ubuntu1
2014-03-03 14:34:33 status config-files libtelepathy-glib0 0.18.0-1ubuntu1
2014-03-03 14:34:33 status installed libtidy-0.99-0 20091223cvs-1ubuntu2
2014-03-03 14:34:33 remove libtidy-0.99-0 20091223cvs-1ubuntu2 <none>
2014-03-03 14:34:33 status half-configured libtidy-0.99-0 20091223cvs-1ubuntu2
2014-03-03 14:34:33 status half-installed libtidy-0.99-0 20091223cvs-1ubuntu2
2014-03-03 14:34:34 status config-files libtidy-0.99-0 20091223cvs-1ubuntu2
2014-03-03 14:34:34 status config-files libtidy-0.99-0 20091223cvs-1ubuntu2
2014-03-03 14:34:34 status installed libwps-0.2-2 0.2.4-1
2014-03-03 14:34:34 remove libwps-0.2-2 0.2.4-1 <none>
2014-03-03 14:34:34 status half-configured libwps-0.2-2 0.2.4-1
2014-03-03 14:34:34 status half-installed libwps-0.2-2 0.2.4-1
2014-03-03 14:34:34 status config-files libwps-0.2-2 0.2.4-1
2014-03-03 14:34:34 status config-files libwps-0.2-2 0.2.4-1
2014-03-03 14:34:34 status installed libwv-1.2-4 1.2.9-2
2014-03-03 14:34:34 remove libwv-1.2-4 1.2.9-2 <none>
2014-03-03 14:34:34 status half-configured libwv-1.2-4 1.2.9-2
2014-03-03 14:34:34 status half-installed libwv-1.2-4 1.2.9-2
2014-03-03 14:34:35 status config-files libwv-1.2-4 1.2.9-2
2014-03-03 14:34:35 status config-files libwv-1.2-4 1.2.9-2
2014-03-03 14:34:35 trigproc shared-mime-info 1.0-0ubuntu4 <none>
2014-03-03 14:34:35 status half-configured shared-mime-info 1.0-0ubuntu4
2014-03-03 14:34:38 status installed shared-mime-info 1.0-0ubuntu4
2014-03-03 14:34:38 trigproc libc-bin 2.15-0ubuntu10 <none>
2014-03-03 14:34:38 status half-configured libc-bin 2.15-0ubuntu10
2014-03-03 14:34:39 status installed libc-bin 2.15-0ubuntu10
2014-03-03 14:36:15 startup packages purge
2014-03-03 14:36:15 status installed antiword 0.37-8
2014-03-03 14:36:16 remove antiword 0.37-8 <none>
2014-03-03 14:36:16 status half-configured antiword 0.37-8
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:16 status triggers-pending hicolor-icon-theme 0.12-1ubuntu2
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:16 status triggers-pending man-db 2.6.1-2
2014-03-03 14:36:16 status half-installed antiword 0.37-8
2014-03-03 14:36:17 status config-files antiword 0.37-8
