/usr/share/fonts: skipping, existing cache is valid: 0 fonts, 5 dirs
/usr/share/fonts/X11: caching, new cache contents: 0 fonts, 4 dirs
/usr/share/fonts/X11/Type1: caching, new cache contents: 75 fonts, 0 dirs
/usr/share/fonts/X11/encodings: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/X11/encodings/large: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/X11/misc: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/X11/util: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/cmap/gs-cjk-resource: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/opentype: skipping, existing cache is valid: 0 fonts, 2 dirs
/usr/share/fonts/opentype/ipafont-gothic: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/opentype/ipafont-mincho: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype: caching, new cache contents: 2 fonts, 11 dirs
/usr/share/fonts/truetype/dustin: caching, new cache contents: 20 fonts, 0 dirs
/usr/share/fonts/truetype/freefont: skipping, existing cache is valid: 13 fonts, 0 dirs
/usr/share/fonts/truetype/liberation: caching, new cache contents: 16 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-bengali-fonts: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-dejavu: skipping, existing cache is valid: 21 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-indic-fonts-core: skipping, existing cache is valid: 17 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-kannada-fonts: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-oriya-fonts: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-telugu-fonts: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/ubuntu-font-family: skipping, existing cache is valid: 11 fonts, 0 dirs
/usr/share/fonts/truetype/wqy: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/type1: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/type1/gsfonts: skipping, existing cache is valid: 35 fonts, 0 dirs
/usr/X11R6/lib/X11/fonts: skipping, no such directory
/usr/local/share/fonts: skipping, existing cache is valid: 0 fonts, 0 dirs
/var/cache/fontconfig: cleaning cache directory
fc-cache: succeeded
